City,Province,Ycase,Scase,aCAPEX_s,aCAPEX_w,aCAPEX_bat,aCAPEX_ely,aCAPEX_FC,aCAPEX_DRP,aCAPEX_cmp2b,aCAPEX_CGH2,aCAPEX_EAF,aCAPEX_cst,aOPEX_maint,aOPEX_pel,aOPEX_lmp,aOPEX_scr,aOPEX_lime,aOPEX_aly,aOPEX_eld,aOPEX_labour,TotalTransportCost_mUSD
Guangzhou,Guangdong ,Y2050,S1,164.4794518,13.83989851,0,66.06583437,0,33.58955823,1.372880442,0.000146971,30.49527693,11.85434964,63.16944926,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Guangzhou,Guangdong ,Y2050,S2,116.6317191,12.05337997,0,46.96725643,0,25.19216867,1.14513782,0.000111876,30.3420974,11.77705647,47.93394872,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Guangzhou,Guangdong ,Y2050,S3,72.68044829,10.43517712,5.72E-12,29.45949135,0,16.79477911,0.917395197,7.32E-05,30.1473922,11.67880977,33.79672728,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Handan,Hebei,YCurrent,S1,130.3758172,182.0673964,0,88.62957666,0,33.58955823,1.372880442,7.08E-05,29.49910924,11.35169134,93.6427606,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Handan,Hebei,YCurrent,S2,93.49481711,130.7751675,-1.38E-12,63.56313138,0,25.19216867,1.14513782,6.06E-05,29.51286954,11.35863468,69.71709133,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Handan,Hebei,YCurrent,S3,59.65354821,83.62764408,1.52E-12,40.6211757,0,16.79477911,0.917395197,4.34E-05,29.53880532,11.37172167,47.62294613,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Handan,Hebei,Y2030,S1,110.400344,151.5301359,0,56.67905564,0,33.58955823,1.372880442,7.67E-05,29.52950278,11.36702768,77.45901358,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Handan,Hebei,Y2030,S2,79.11786595,108.8772959,-8.62E-12,40.6671585,0,25.19216867,1.14513782,6.09E-05,29.54251795,11.37359503,58.10689903,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Handan,Hebei,Y2030,S3,50.50849822,69.63613964,-7.68E-12,25.96459172,0,16.79477911,0.917395197,5.20E-05,29.57019914,11.38756274,40.21105092,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Handan,Hebei,Y2040,S1,99.67291813,130.1699475,-1.01E-11,48.70926182,0,33.58955823,1.372880442,9.58E-05,29.56067963,11.38275927,69.60243769,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Handan,Hebei,Y2040,S2,71.44370358,93.55644962,-2.45E-11,34.92024937,0,25.19216867,1.14513782,7.33E-05,29.57504928,11.39001008,52.47266501,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
Handan,Hebei,Y2040,S3,45.28392698,60.29585296,-3.56E-12,22.17590019,0,16.79477911,0.917395197,5.36E-05,29.60131256,11.40326232,36.6162865,117.6170213,0,132.5,4.84,26.367,10.79,63.29638298,4.118431144
Handan,Hebei,Y2050,S1,110.0756859,73.10412133,-2.86E-11,50.66828621,0,33.58955823,1.372880442,9.75E-05,29.75462005,11.48062007,60.88152104,235.2340426,0,0,6.05,26.367,10.79,73.40276596,8.236862288
Handan,Hebei,Y2050,S2,78.17192337,53.64516769,-1.05E-11,36.03537581,0,25.19216867,1.14513782,7.24E-05,29.76438669,11.48554823,46.23164945,176.4255319,0,66.25,5.445,26.367,10.79,68.34957447,6.177646716
