t,s,w
t1131,0.461,0.108
t1132,0.607,0.084
t1133,0.487,0.067
t1134,0.32,0.05
t1135,0.305,0.053
t1136,0.294,0.068
t1137,0.165,0.078
t1138,0.029,0.118
t1139,0,0.227
t1140,0,0.272
t1141,0,0.223
t1142,0,0.187
t1143,0,0.045
t1144,0,0.003
t1145,0,0.001
t1146,0,0.002
t1147,0,0.003
t1148,0,0.014
t1149,0,0.028
t1150,0,0.026
t1151,0,0.03
t1152,0.028,0.045
t1153,0.191,0.045
t1154,0.3,0.014
t1155,0.287,0.008
t1156,0.38,0.006
t1157,0.366,0.002
t1158,0.344,0.007
t1159,0.327,0.027
t1160,0.257,0.04
t1161,0.133,0.05
t1162,0.024,0.074
t1163,0,0.107
t1164,0,0.115
t1165,0,0.084
t1166,0,0.032
t1167,0,0.003
t1168,0,0
t1169,0,0
t1170,0,0
t1171,0,0
t1172,0,0
t1173,0,0
t1174,0,0
t1175,0,0
t1176,0.068,0
t1177,0.292,0
t1178,0.503,0
t1179,0.653,0
t1180,0.729,0
t1181,0.751,0
t1182,0.711,0
t1183,0.602,0
t1184,0.426,0
t1185,0.206,0
t1186,0.038,0
t1187,0,0.008
t1188,0,0.049
t1189,0,0.114
t1190,0,0.157
t1191,0,0.154
t1192,0,0.097
t1193,0,0.033
t1194,0,0.002
t1195,0,0
t1196,0,0.002
t1197,0,0.013
t1198,0,0.005
t1199,0,0.001
t1200,0.018,0
t1201,0.081,0.002
t1202,0.187,0.018
t1203,0.301,0.095
t1204,0.381,0.168
t1205,0.358,0.188
t1206,0.324,0.199
t1207,0.283,0.219
t1208,0.188,0.254
t1209,0.1,0.274
t1210,0.019,0.218
t1211,0,0.187
t1212,0,0.154
t1213,0,0.122
t1214,0,0.076
t1215,0,0.033
t1216,0,0.013
t1217,0,0.017
t1218,0,0.061
t1219,0,0.169
t1220,0,0.365
t1221,0,0.47
t1222,0,0.173
t1223,0,0.05
t1224,0.019,0.041
t1225,0.085,0.041
t1226,0.207,0.131
t1227,0.364,0.203
t1228,0.423,0.175
t1229,0.432,0.153
t1230,0.403,0.125
t1231,0.298,0.087
t1232,0.162,0.043
t1233,0.043,0.013
t1234,0.007,0.005
t1235,0,0.003
t1236,0,0.002
t1237,0,0.002
t1238,0,0.005
t1239,0,0.014
t1240,0,0.027
t1241,0,0.037
t1242,0,0.041
t1243,0,0.037
t1244,0,0.026
t1245,0,0.028
t1246,0,0.024
t1247,0,0.014
t1248,0.042,0.003
t1249,0.208,0
t1250,0.484,0.001
t1251,0.644,0
t1252,0.729,0
t1253,0.758,0.001
t1254,0.727,0.002
t1255,0.63,0.002
t1256,0.475,0.002
t1257,0.195,0.007
t1258,0.022,0.02
t1259,0,0.042
t1260,0,0.08
t1261,0,0.125
t1262,0,0.16
t1263,0,0.175
t1264,0,0.14
t1265,0,0.068
t1266,0,0.011
t1267,0,0
t1268,0,0
t1269,0,0.013
t1270,0,0.01
t1271,0,0.007
t1272,0.049,0.022
t1273,0.186,0.009
t1274,0.361,0.057
t1275,0.369,0.104
t1276,0.433,0.076
t1277,0.574,0.045
t1278,0.604,0.041
t1279,0.511,0.045
t1280,0.388,0.055
t1281,0.246,0.056
t1282,0.057,0.061
t1283,0,0.076
t1284,0,0.083
t1285,0,0.078
t1286,0,0.063
t1287,0,0.043
t1288,0,0.041
t1289,0,0.041
t1290,0,0.023
t1291,0,0.005
t1292,0,0
t1293,0,0
t1294,0,0
t1295,0,0
t1296,0.059,0.001
t1297,0.217,0
t1298,0.424,0.001
t1299,0.558,0
t1300,0.603,0
t1301,0.669,0
t1302,0.669,0
t1303,0.618,0
t1304,0.474,0
t1305,0.27,0
t1306,0.062,0
t1307,0,0.002
t1308,0,0.007
t1309,0,0.012
t1310,0,0.012
t1311,0,0.009
t1312,0,0.004
t1313,0,0.001
t1314,0,0
t1315,0,0
t1316,0,0
t1317,0,0.002
t1318,0,0
t1319,0,0
t1320,0.046,0.001
t1321,0.255,0
t1322,0.405,0.003
t1323,0.533,0.014
t1324,0.643,0.009
t1325,0.656,0.003
t1326,0.595,0.005
t1327,0.532,0.014
t1328,0.414,0.028
t1329,0.225,0.05
t1330,0.05,0.137
t1331,0,0.294
t1332,0,0.42
t1333,0,0.405
t1334,0,0.329
